"original address",latitude,longitude
"4480 South Tiffany Drive Mangonia Park 33407",26.753403,-80.08252
"1900 N. Australian Avenue West Palm Beach 33407",26.73038,-80.065454
"1725 Echo Lake Drive West Palm Beach 33407",26.748922,-80.083626
"1060 S. Kirk Road West Palm Beach 33406",26.66156,-80.102987
"5445 10th North Greenacres 33463",26.631651,-80.128334
"956 Florida Mango Road West Palm Beach 33406",26.662731,-80.079072
"6050 Gateway Blvd Boynton Beach 33472",26.543561,-80.140296
"6050 Gateway Blvd Boynton Beach 33472",26.543561,-80.140296
"550 NW 4th Avenue Boynton Beach 33435",26.529998,-80.071387
"800 Northpoint PKWY.,Suite 204 West Palm Beach 33407",26.762699,-80.095525
"500 N.W. Avenue L Belle Glade 33430",26.695341,-80.672658
"800 Northpoint PKWY.,Suite 204 West Palm Beach 33407",26.762699,-80.095525
"500 N.W. Avenue L Belle Glade 33430",26.695341,-80.672658
"6301 Summit Boulevard West Palm Beach 33415",26.664477,-80.142506
"6301 Summit Boulevard West Palm Beach 33415",26.664477,-80.142506
"501 Martin Avenue Greenacres 33463",26.629879,-80.126022
"1060 South Kirck Road West Palm Beach 33406",26.66156,-80.102987
"1060 South Kirck Road West Palm Beach 33406",26.66156,-80.102987
"710 West Ocean Avenue Lantana 33462",26.584039,-80.059945
"7450 State Road 15 US 441 Pahokee 33476",27.188276,-80.7483
"7450 State Road 15 US 441 Pahokee 33476",27.188276,-80.7483
"1501 Avenue U Riviera Beach 33404",26.776181,-80.084386
"1501 Avenue U Riviera Beach 33404",26.776181,-80.084386
"6000 Oak Royal Drive Lake Worth 33463",26.591039,-80.139406
"1501 N Australian Avenue West Palm Beach 33401",26.727689,-80.069503
"1501 N Australian Avenue West Palm Beach 33401",26.727689,-80.069503
"1201 SW 3rd Street Boynton Beach 33435",26.517252,-80.070867
"1201 SW 3rd Street Boynton Beach 33435",26.517252,-80.070867
"2501 Seacrest Blvd. Delray Beach 33444",26.48858,-80.069542
"2501 Seacrest Blvd. Delray Beach 33444",26.48858,-80.069542
"350 S.W. 10th St. Belle Glade 33430",26.683076,-80.678335
"350 S.W. 10th St. Belle Glade 33430",26.683076,-80.678335
"695 Auburn Avenue Delray Beach 33444",26.450817,-80.08631
"5891 S Military Trail #19 Lake Worth 33463",26.590011,-80.115029
"400 SW 12th Avenue Delray Beach 33444",26.453397,-80.086289
"400 SW 12th Avenue Delray Beach 33444",26.453397,-80.086289
"1501 N Australian Avenue West Palm Beach 33401",26.727689,-80.069503
"4111 N. Terrace Drive West Palm Beach 33407",26.750147,-80.063662
"4111 N. Terrace Drive West Palm Beach 33407",26.750147,-80.063662
"39500 Pioneer Park Road Belle Glade 33430",26.669008,-80.679097
"1501 N Australian Avenue West Palm Beach 33401",26.727689,-80.069503
"39500 Pioneer Park Road Belle Glade 33430",26.669008,-80.679097
"1701 Wingfield Street Lake Worth 33460",26.594513,-80.058491
"410 3rd Street Lake Park 33403",26.796247,-80.060239
"400 SW 12th Avenue Delray Beach 33444",26.453397,-80.086289
"716 South K Street Lake Worth 33460",26.606779,-80.054977
"1060 S. Kirk Road West Palm Beach 33406",26.66156,-80.102987
